"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-93.75","48.52","DEVLIN","6022010","1989-02-12","1989","02","12","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-02-13","1989","02","13","","","","","","","","","","","","0.0","","0.0","T","0.0","T","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-02-14","1989","02","14","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-02-15","1989","02","15","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-02-16","1989","02","16","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-02-17","1989","02","17","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-02-18","1989","02","18","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-02-19","1989","02","19","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-02-20","1989","02","20","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-02-21","1989","02","21","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-02-22","1989","02","22","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-02-23","1989","02","23","","","","","","","","","","","","0.0","","3.0","","3.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-02-24","1989","02","24","","","","","","","","","","","","0.0","","3.0","","3.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-02-25","1989","02","25","","","","","","","","","","","","0.0","","3.0","","3.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-02-26","1989","02","26","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-02-27","1989","02","27","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-02-28","1989","02","28","","","","","","","","","","","","0.0","","0.0","","0.0","","","","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-01","1989","03","01","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-02","1989","03","02","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-03","1989","03","03","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-04","1989","03","04","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-05","1989","03","05","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-06","1989","03","06","","","","","","","","","","","","0.0","","0.0","T","0.0","T","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-07","1989","03","07","","","","","","","","","","","","0.0","","4.0","","4.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-08","1989","03","08","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-09","1989","03","09","","","","","","","","","","","","0.0","T","0.0","","0.0","T","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-10","1989","03","10","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-11","1989","03","11","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-12","1989","03","12","","","","","","","","","","","","0.0","","4.0","","4.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-13","1989","03","13","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-14","1989","03","14","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-15","1989","03","15","","","","","","","","","","","","0.0","","5.0","","5.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-16","1989","03","16","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-17","1989","03","17","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
"-93.75","48.52","DEVLIN","6022010","1989-03-18","1989","03","18","","","","","","","","","","","","0.0","","0.0","","0.0","","","M","","","",""
